Region,Elevation ,Eofbase,DOC
Sierra Nevada,2186,1986,1.5
Sierra Nevada,2174,1974,9.6
Sierra Nevada,2115,1915,12.4
Sierra Nevada,3397,3197,0.723656343
Sierra Nevada,3130,2930,0.793276406
Sierra Nevada,2148,1948,8.64
Sierra Nevada,2487.168,2287.168,0.26831602
Sierra Nevada,2438.4,2238.4,0.553708877
Sierra Nevada,2978,2778,0.396997576
Sierra Nevada,2978,2778,0.440375354
Sierra Nevada,2962.656,2762.656,1.057994591
Sierra Nevada,2294,2094,1.496588015
Sierra Nevada,2294,2094,1.058026217
Sierra Nevada,2294,2094,1.309947252
Sierra Nevada,2097,1897,2.090674525
Sierra Nevada,2256,2056,1.527765434
Sierra Nevada,2256,2056,1.785583615
Sierra Nevada,2146,1946,1.757947252
Sierra Nevada,2134,1934,1.355765434
Sierra Nevada,2097,1897,1.627401797
Sierra Nevada,3206,3006,0.45328107
Sierra Nevada,1646,1446,1.495689139
Sierra Nevada,1646,1446,1.785127341
Sierra Nevada,3121,2921,0.249218525
Sierra Nevada,3376,3176,0.614092706
Sierra Nevada,3288,3088,0.282735616
Sierra Nevada,1760,1560,1.950071161
Sierra Nevada,1760,1560,1.250071161
Sierra Nevada,2460,2260,0.34784202
Sierra Nevada,2460,2260,0.782161049
Sierra Nevada,3013.2528,2813.2528,0.856137448
Sierra Nevada,3361.944,3161.944,2.097280305
Sierra Nevada,3364.992,3164.992,1.762637448
Sierra Nevada,3372.612,3172.612,3.359780305
Sierra Nevada,3406.14,3206.14,1.188351734
Sierra Nevada,3409.188,3209.188,0.987744591
Sierra Nevada,3362,3162,3.06
Sierra Nevada,3559,3359,0.92
Sierra Nevada,3559,3359,0.304019798
Sierra Nevada,3559,3359,0.306953131
Sierra Nevada,3389,3189,10.36
Sierra Nevada,2421.636,2221.636,0.833218525
Sierra Nevada,2569.464,2369.464,0.540782161
Sierra Nevada,3110,2910,0.682145971
Sierra Nevada,2088,1888,14.48415313
Sierra Nevada,2088,1888,15.02193091
Sierra Nevada,2088,1888,12.67
Sierra Nevada,3135,2935,0.55184202
Sierra Nevada,3135,2935,0.706819798
Sierra Nevada,3375,3175,0.352650319
Sierra Nevada,2130.552,1930.552,1.138891252
Sierra Nevada,3154,2954,4.13
