lake.ID,lake.name,region,temperature,fish_PA,stocking,elevation,max_depth,area,richness,fish_PA_bin
1401,Hidden2,GP NF,18,Present,Stocked,1244,1.9,1.7,1,1
1402,North,MH NF,14.9,Present,Stocked,860,1.8,3.24,4,1
1403,Catalpa,MH NF,15.7,Present,Stocked,1348,1.2,1.22,3,1
1404,Lodgepole,DES NF,23.2,Present,Stocked,1613,4.3,1.3,7,1
1406,Clark,DES NF,19.6,Present,Stocked,1721,4.6,0.5,6,1
1407,Gleneden,DES NF,21,Present,Stocked,1757,4.6,0.4,5,1
1409,Heather2,DES NF,19.8,Present,Stocked,1704,3.7,1.5,5,1
1410,South Prairie,GP NF,18.8,Present,Stocked,915,2.8,3.3,6,1
1412,Cathy,DES NF,18.1,Present,Stocked,1677,5.5,1.2,3,1
1413,North Twin,DES NF,20.3,Present,Stocked,1323,19.2,45.3,7,1
1414,Upper Twin2,MH NF,18.2,Present,Stocked,1265,1.2,5.67,4,1
1415,Dennis,DES NF,18.3,Present,Stocked,1918,12.8,3.5,2,1
1418,Rock Rim,DES NF,20.2,Present,Stocked,1840,3.7,1.5,5,1
1420,Forlorn#2,GP NF,19.8,Present,Stocked,1122,2.7,5.9,7,1
1421,Sundew,DES NF,18.9,Present,Stocked,1662,2.7,1.2,7,1
1422,Laurance,MH NF,17.2,Present,Stocked,902,32,50.6,7.363636364,1
1423,Scout,MH NF,20.9,Present,Stocked,1221,2.1,0.81,3,1
1426,Phantom,DES NF,17.8,Present,Stocked,1670,2,1.5,6,1
1427,Lost2,MH NF,17.6,Present,Stocked,958,53.4,93.52,4,1
1428,North Teddy,DES NF,22.8,Present,Stocked,1503,8.5,12.2,4,1
1429,Brahma,DES NF,21,Present,Stocked,1725,3.7,4.9,5,1
1430,Bear2,MH NF,22.8,Present,Stocked,1190,3.1,1.22,8,1
1438,LIZ3,MORA,9.9,Absent,No Record,1589,0.3,0.04,3,0
1439,LIZ4,MORA,16.4,Absent,No Record,1630,0.66,0.05,4,0
1440,LO22,MORA,18.9,Absent,No Record,1534,1.2,0.095,4,0
1441,UK13,MORA,15.7,Absent,No Record,1733,0.75,0.04,1,0
